question_word,correct_answer,model_guess,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,jurisdictions,guess
haphazardly,randomly,dangerously,guess
prominent,conspicuous,battered,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,tiny,guess
urgently,desperately,typically,wrong
consumed,eaten,caught,wrong
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,alone,correct
hasten,accelerate,permit,guess
perseverance,endurance,skill,wrong
fanciful,imaginative,familiar,wrong
showed,demonstrated,published,wrong
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,supply,correct
costly,expensive,beautiful,wrong
recognized,acknowledged,depicted,guess
spot,location,location,correct
make,earn,earn,correct
often,frequently,hardly,wrong
easygoing,relaxed,frontier,guess
debate,argument,war,wrong
narrow,thin,thin,correct
arranged,planned,discarded,wrong
infinite,limitless,unusual,wrong
showy,striking,striking,correct
levied,imposed,requested,guess
deftly,skillfully,skillfully,correct
distribute,circulate,research,wrong
discrepancies,differences,differences,correct
prolific,productive,promising,guess
unmatched,unequaled,emulated,guess
peculiarly,uniquely,patriotically,guess
hue,color,color,correct
hind,rear,curved,wrong
highlight,accentuate,imitate,guess
hastily,hurriedly,habitually,wrong
temperate,mild,mild,correct
grin,smile,joke,wrong
verbally,orally,verbosely,guess
physician,doctor,nurse,wrong
essentially,basically,ordinarily,wrong
keen,sharp,sharp,correct
situated,positioned,emptying,wrong
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,jobs,correct
unlikely,improbable,different,wrong
halfheartedly,apathetically,apathetically,correct
annals,chronicles,homes,guess
wildly,furiously,mysteriously,wrong
hailed,acclaimed,addressed,wrong
command,mastery,awareness,guess
concocted,devised,supervised,guess
prospective,potential,potential,correct
generally,broadly,controversially,guess
sustained,prolonged,refined,wrong
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,photograph,wrong
primarily,chiefly,chiefly,correct
colloquial,conversational,incorrect,guess
resolved,settled,publicized,guess
feasible,possible,equitable,wrong
expeditiously,rapidly,repeatedly,wrong
percentage,proportion,profit,guess
terminated,ended,postponed,guess
uniform,alike,hard,wrong
figure,solve,divide,wrong
sufficient,enough,valuable,wrong
fashion,manner,craze,guess
marketed,sold,sweetened,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,permanently,guess
